Country,City,Town
Kenya,Nairobi,Westlands
Kenya,Nairobi,Kibera
Kenya,Nairobi,Karen
Kenya,Nairobi,Langata
Kenya,Nairobi,Kilimani
Kenya,Nairobi,Runda
Kenya,Nairobi,Kileleshwa
Kenya,Nairobi,Eastleigh
Kenya,Mombasa,Nyali
Kenya,Mombasa,Tudor
Kenya,Mombasa,Kongowea
Kenya,Mombasa,Mkomani
Kenya,Mombasa,Likoni
Kenya,Mombasa,Shanzu
Kenya,Mombasa,Bamburi
Kenya,Kisumu,Ahero
Kenya,Kisumu,Maseno
Kenya,Kisumu,Kondele
Kenya,Kisumu,Nyalenda
Kenya,Kisumu,Mamboleo
Kenya,Nakuru,Naivasha
Kenya,Nakuru,Lanet
Kenya,Nakuru,Molo
Kenya,Nakuru,Gilgil
Kenya,Nakuru,Subukia
Kenya,Eldoret,Kapseret
Kenya,Eldoret,Langas
Kenya,Eldoret,Kimumu
Kenya,Eldoret,Turbo
Kenya,Eldoret,Chepkoilel
Kenya,Thika,Ruiru
Kenya,Thika,Juja
Kenya,Thika,Kamenu
Kenya,Thika,Kiganjo
Kenya,Malindi,Watamu
Kenya,Malindi,Takaungu
Kenya,Malindi,Ganda
Kenya,Malindi,Sabaki
Kenya,Machakos,Kangundo
Kenya,Machakos,Mwala
Kenya,Machakos,Mavoko
Kenya,Machakos,Athi River
Kenya,Garissa,Madogo
Kenya,Garissa,Bura
Kenya,Garissa,Modika
Kenya,Meru,Mitunguu
Kenya,Meru,Kanyakine
Kenya,Meru,Muthara
Kenya,Meru,Nkubu
Kenya,Nyeri,Karatina
Kenya,Nyeri,Othaya
Kenya,Nyeri,Tetu
Kenya,Nyeri,Mukurweini
Kenya,Kericho,Litein
Kenya,Kericho,Londiani
Kenya,Kericho,Sotik
Kenya,Kericho,Kipkelion
Kenya,Kakamega,Mumias
Kenya,Kakamega,Malava
Kenya,Kakamega,Lugari
Kenya,Kakamega,Butere
Kenya,Busia,Port Victoria
Kenya,Busia,Funyula
Kenya,Busia,Nambale
Kenya,Busia,Bumala
Kenya,Bungoma,Webuye
Kenya,Bungoma,Kimilili
Kenya,Bungoma,Chwele
Kenya,Bungoma,Sirisia
Kenya,Isiolo,Kinna
Kenya,Isiolo,Merti
Kenya,Isiolo,Garbatulla
Kenya,Marsabit,Laisamis
Kenya,Marsabit,Moyale
Kenya,Marsabit,North Horr
Kenya,Narok,Kilgoris
Kenya,Narok,Ololulung’a
Kenya,Narok,Suswa
Kenya,Voi,Taita
Kenya,Voi,Wundanyi
Kenya,Voi,Mwatate
Kenya,Lamu,Shela
Kenya,Lamu,Matondoni
Kenya,Lamu,Mpeketoni
