Country,City,Town
Tanzania,Dar es Salaam,Kinondoni
Tanzania,Dar es Salaam,Ilala
Tanzania,Dar es Salaam,Temeke
Tanzania,Dar es Salaam,Ubungo
Tanzania,Dar es Salaam,Kigamboni
Tanzania,Arusha,Ngaramtoni
Tanzania,Arusha,Sokoni
Tanzania,Arusha,Olasiti
Tanzania,Mwanza,Ilemela
Tanzania,Mwanza,Nyamagana
Tanzania,Mwanza,Pasiansi
Tanzania,Dodoma,Nala
Tanzania,Dodoma,Mpwapwa Road
Tanzania,Dodoma,Makole
Tanzania,Zanzibar City,Stone Town
Tanzania,Zanzibar City,Michenzani
Tanzania,Zanzibar City,Mpendae
Tanzania,Mbeya,Iyunga
Tanzania,Mbeya,Iganjo
Tanzania,Mbeya,Nzovwe
Tanzania,Morogoro,Kihonda
Tanzania,Morogoro,Sabasaba
Tanzania,Morogoro,Mazimbu
Tanzania,Tanga,Chumbageni
Tanzania,Tanga,Central
Tanzania,Tanga,Ngamiani
Tanzania,Moshi,Rau
Tanzania,Moshi,Kiboriloni
Tanzania,Moshi,Shanty Town
Tanzania,Iringa,Mkwawa
Tanzania,Iringa,Gangilonga
Tanzania,Iringa,Kitwiru
