Country,City,Town
Uganda,Kampala,Makindye
Uganda,Kampala,Nakawa
Uganda,Kampala,Rubaga
Uganda,Kampala,Kawempe
Uganda,Kampala,Central Division
Uganda,Entebbe,Kitoro
Uganda,Entebbe,Katabi
Uganda,Entebbe,Abayita Ababiri
Uganda,Jinja,Nalufenya
Uganda,Jinja,Budondo
Uganda,Jinja,Buwenge
Uganda,Gulu,Pece
Uganda,Gulu,Bardege
Uganda,Gulu,Layibi
Uganda,Mbarara,Kakyeka
Uganda,Mbarara,Nyamityobora
Uganda,Mbarara,Kisenyi
Uganda,Mbale,Namatala
Uganda,Mbale,Busamaga
Uganda,Mbale,Manafwa
Uganda,Masaka,Nyendo
Uganda,Masaka,Katwe
Uganda,Masaka,Kimanya
Uganda,Fort Portal,Kagote
Uganda,Fort Portal,Buhinga
Uganda,Fort Portal,Rwengoma
Uganda,Lira,Adyel
Uganda,Lira,Ojwina
Uganda,Lira,Railway Division
Uganda,Arua,Onduparaka
Uganda,Arua,Ediofe
Uganda,Arua,Oli
